timestamp,email_address,since,meaningful_conversations,general_conversations,people,concerns
02/01/2024 19:00:00,izabella.thomas@gmail.com,01/01/2024,2,4,"liveaboards, Ex HM Forces, Waterside residents","PTSD, Faith and religion, Homelessness, (Un)employment"
03/01/2024 09:00:00,walker.wade@gmail.com,01/01/2024,5,2,"liveaboards, leisure owners, Ex HM Forces, Homeless","mental health, PTSD"
03/01/2024 21:00:00,izabella.thomas@gmail.com,,0,7,Waterside business staff,"mental health, Faith and religion, Boat licensing and mooring, Homelessness, (Un)employment, Crime"
04/01/2024 10:00:00,milissa.kraus@gmail.com,03/01/2024,2,5,"liveaboards, leisure hirers/visitors, Waterside business staff, Waterside residents","PTSD, Boat worthiness, Boat licensing and mooring, Addiction (alcohol and/or drugs), Homelessness, (Un)employment"
04/01/2024 18:00:00,walker.wade@gmail.com,,3,8,"leisure owners, Ex HM Forces, Homeless, Waterside business staff","financial hardship/benefits, PTSD, Boat worthiness, (Un)employment"
05/01/2024 09:00:00,nicholas.parks@gmail.com,03/01/2024,3,5,"liveaboards, fisher(wo)men, Towpath users, Waterside business staff","mental health, suicidal thoughts, Boat worthiness, Addiction (alcohol and/or drugs), Homelessness, Crime"
05/01/2024 13:00:00,william.kilkenny@gmail.com,01/01/2024,5,7,"liveaboards, leisure hirers/visitors, Ex HM Forces, Homeless, Waterside business staff","physical health, mental health, suicidal thoughts, Boat licensing and mooring, Personal relationships, Moving onto land"
05/01/2024 19:00:00,ryder.ferguson@gmail.com,01/01/2024,2,3,"Ex HM Forces, Homeless, Waterside residents","suicidal thoughts, Faith and religion"
06/01/2024 17:00:00,savannah.croswhite@gmail.com,02/01/2024,2,6,"fisher(wo)men, Ex HM Forces, Homeless, Waterside business staff","PTSD, Addiction (alcohol and/or drugs), Homelessness, (Un)employment, Crime"
07/01/2024 12:00:00,nicholas.parks@gmail.com,,6,4,"fisher(wo)men, Ex HM Forces","financial hardship/benefits, mental health, PTSD, Moving onto land"
07/01/2024 14:00:00,izabella.thomas@gmail.com,,5,3,"liveaboards, leisure owners, Homeless","financial hardship/benefits, mental health, PTSD, Faith and religion, Homelessness, Death and bereavement"
07/01/2024 21:00:00,savannah.croswhite@gmail.com,,5,5,"leisure owners, Homeless","mental health, Addiction (alcohol and/or drugs), Personal relationships"
08/01/2024 09:00:00,ryder.ferguson@gmail.com,,2,4,"leisure owners, Towpath users, Waterside business staff, Waterside residents","mental health, Addiction (alcohol and/or drugs), Moving onto land"
08/01/2024 10:00:00,walker.wade@gmail.com,,6,8,"liveaboards, leisure owners, Waterside business staff, Waterside residents","mental health, PTSD, Personal relationships"
08/01/2024 15:00:00,william.kilkenny@gmail.com,,2,8,"leisure owners, fisher(wo)men, Waterside business staff, Waterside residents","financial hardship/benefits, suicidal thoughts, PTSD, Boat worthiness, Boat licensing and mooring, Addiction (alcohol and/or drugs), Personal relationships, Moving onto land"
